stratum,outcome,tolerance_level,primary_decision_level,method_a,method_b,condition_n,probability_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
sag,qualification_pass,primary_tolerance,True,stft,wavelet,19,-0.32052631578947366,-0.5310526315789473,-0.11473684210526316,0.001999000499750125,0.01199400299850075
sag,qualification_pass,primary_tolerance,True,stft,s_transform,19,-0.2621052631578948,-0.47263157894736846,-0.1031578947368421,0.0069965017491254375,0.03498250874562719
sag,qualification_pass,primary_tolerance,True,stft,vmd,19,-0.05263157894736842,-0.15789473684210525,0.0,0.7406296851574213,1.0
sag,qualification_pass,primary_tolerance,True,wavelet,s_transform,19,0.05842105263157894,-0.20947368421052637,0.32052631578947366,0.5977011494252874,1.0
sag,qualification_pass,primary_tolerance,True,wavelet,vmd,19,0.26789473684210524,0.05263157894736842,0.5263157894736842,0.025987006496751622,0.10394802598700649
sag,qualification_pass,primary_tolerance,True,s_transform,vmd,19,0.2094736842105263,-0.0010526315789473606,0.47055263157894733,0.11694152923538231,0.35082458770614694
sag,qualification_pass,double_tolerance,False,stft,wavelet,19,-0.33789473684210525,-0.5437368421052632,-0.15310526315789502,0.001999000499750125,0.01199400299850075
sag,qualification_pass,double_tolerance,False,stft,s_transform,19,-0.3273684210526316,-0.5358026315789474,-0.13417105263157916,0.001999000499750125,0.01199400299850075
sag,qualification_pass,double_tolerance,False,stft,vmd,19,-0.07684210526315789,-0.2394736842105263,0.056842105263157895,0.3238380809595202,0.6476761619190404
sag,qualification_pass,double_tolerance,False,wavelet,s_transform,19,0.010526315789473682,-0.2778947368421052,0.27599999999999886,0.9625187406296851,0.9625187406296851
sag,qualification_pass,double_tolerance,False,wavelet,vmd,19,0.26105263157894737,-0.05263157894736842,0.5263157894736843,0.10794602698650675,0.32383808095952027
sag,qualification_pass,double_tolerance,False,s_transform,vmd,19,0.25052631578947365,0.0,0.5136842105263157,0.06596701649175413,0.2638680659670165
swell,qualification_pass,half_tolerance,False,stft,wavelet,18,-0.050555555555555555,-0.17444444444444446,0.025555555555555557,0.4617691154422789,0.9235382308845578
swell,qualification_pass,half_tolerance,False,stft,s_transform,18,-0.26499999999999996,-0.48754166666666665,-0.07277777777777777,0.005997001499250375,0.035982008995502246
swell,qualification_pass,half_tolerance,False,stft,vmd,18,-0.09833333333333333,-0.2777777777777778,0.025555555555555557,0.2448775612193903,0.895552223888056
swell,qualification_pass,half_tolerance,False,wavelet,s_transform,18,-0.21444444444444444,-0.4444444444444444,0.023333333333333345,0.12393803098450774,0.6196901549225388
swell,qualification_pass,half_tolerance,False,wavelet,vmd,18,-0.04777777777777778,-0.22222222222222224,0.12666666666666668,0.7656171914042978,0.9235382308845578
swell,qualification_pass,half_tolerance,False,s_transform,vmd,18,0.16666666666666666,-0.05555555555555555,0.3888888888888889,0.223888055972014,0.895552223888056
swell,qualification_pass,primary_tolerance,True,stft,wavelet,18,-0.10722222222222223,-0.38888888888888884,0.1572916666666663,0.4267866066966517,1.0
swell,qualification_pass,primary_tolerance,True,stft,s_transform,18,-0.2872222222222222,-0.5250138888888888,-0.06944444444444448,0.0079960019990005,0.047976011994003
swell,qualification_pass,primary_tolerance,True,stft,vmd,18,-0.04000000000000001,-0.22255555555555556,0.1311111111111111,0.736631684157921,1.0
swell,qualification_pass,primary_tolerance,True,wavelet,s_transform,18,-0.18000000000000002,-0.45777777777777773,0.09777777777777777,0.2128935532233883,0.8515742128935532
swell,qualification_pass,primary_tolerance,True,wavelet,vmd,18,0.06722222222222222,-0.2222222222222222,0.34529166666666516,0.6586706646676662,1.0
swell,qualification_pass,primary_tolerance,True,s_transform,vmd,18,0.24722222222222223,-0.03055555555555553,0.5,0.09795102448775612,0.4897551224387806
swell,qualification_pass,double_tolerance,False,stft,wavelet,18,0.065,0.0,0.18388888888888888,0.07096451774112944,0.3548225887056472
swell,qualification_pass,double_tolerance,False,stft,s_transform,18,0.05555555555555555,-0.11111111111111116,0.2222222222222222,0.8035982008995503,1.0
swell,qualification_pass,double_tolerance,False,stft,vmd,18,0.2222222222222222,0.05555555555555558,0.4444444444444444,0.013993003498250875,0.08395802098950525
swell,qualification_pass,double_tolerance,False,wavelet,s_transform,18,-0.009444444444444446,-0.2300000000000001,0.21223611111111113,0.8285857071464268,1.0
swell,qualification_pass,double_tolerance,False,wavelet,vmd,18,0.1572222222222222,-0.06500000000000006,0.3872222222222223,0.2448775612193903,0.8595702148925537
swell,qualification_pass,double_tolerance,False,s_transform,vmd,18,0.16666666666666666,-0.05555555555555558,0.38888888888888895,0.21489255372313842,0.8595702148925537
oscillatory_transient,primary_frequency_availability,not_applicable,False,stft,wavelet,27,0.0,0.0,0.0,1.0,1.0
oscillatory_transient,primary_frequency_availability,not_applicable,False,stft,s_transform,27,0.0,0.0,0.0,1.0,1.0
oscillatory_transient,primary_frequency_availability,not_applicable,False,stft,vmd,27,0.27259259259259255,0.1233333333333333,0.445574074074074,0.0009995002498750624,0.005997001499250375
oscillatory_transient,primary_frequency_availability,not_applicable,False,wavelet,s_transform,27,0.0,0.0,0.0,1.0,1.0
oscillatory_transient,primary_frequency_availability,not_applicable,False,wavelet,vmd,27,0.27259259259259255,0.1233333333333333,0.445574074074074,0.0009995002498750624,0.005997001499250375
oscillatory_transient,primary_frequency_availability,not_applicable,False,s_transform,vmd,27,0.27259259259259255,0.1233333333333333,0.445574074074074,0.0009995002498750624,0.005997001499250375
